"y","temp","rain","wind","wet","cloud","temp.sqr","sunny","semester","past_rent","X1_2","X2_3","X3_4","X4_5","X5_6","X6_7","X7_8","X8_9","X9_10","X10_11","X11_12","X12_13","X13_14","X14_15","X15_16","X16_17","X17_18","X19_20","X20_21","X21_22","X23_24","weekend","m5","m20","m25","m35","m45","m55","m60","m65","m70","f20","f25","f30","f40","f50","f60","f65","bus_passenger","sub_passenger"
0,-0.9,0,0.7,42,1,0.81,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2380.0975,4256.555,4122.9342,1541.2446,1068.9945,851.4151,619.3034,453.6725,760.3326,5475.9384,3621.7632,1750.1372,894.2637,784.0434,655.461,534.6887,374,1919
0,-1.2,0,0.9,45,7,1.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2302.7393,4307.0667,4168.2017,1517.6744,1070.2002,842.4864,617.974,444.6465,769.1565,5433.5806,3618.2199,1765.6912,853.9846,784.2678,706.2706,559.3522,305,1822
0,-1.6,0,0.9,47,4,2.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1990.2825,3809.3629,3987.5885,1425.254,1046.1585,864.8032,558.3138,438.4032,746.3631,5054.2346,3458.2767,1734.4228,840.3534,756.7894,680.7566,562.3245,482,3216
0,-2.4,0,2.1,49,3,5.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1010.5843,2966.0381,3306.7813,1368.3173,1025.4351,802.2568,546.7402,424.2162,756.3511,4384.5668,3166.2979,1643.6693,796.9554,779.8195,675.7285,561.7106,634,4686
0,-2.5,0,1,49,6,6.25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,665.6039,2697.6954,3215.2554,1298.3517,974.7318,810.0397,568.5069,442.2193,751.4911,4242.8454,3115.3854,1664.3515,782.2246,794.7583,695.5734,524.8618,340,1294
0,-2.6,0,0.9,52,8,6.76,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,515.973,2496.8181,3131.7732,1229.9252,895.2271,759.3371,509.645,404.4098,784.51,4208.4572,3002.7874,1629.9731,646.9265,672.8306,611.6483,501.4084,124,312
0,-2.8,0,2.3,55,7,7.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,527.3301,2528.0976,3054.5089,1254.9868,906.0489,728.0094,491.5773,416.2185,770.8469,4230.2852,2960.1867,1675.7792,643.7032,677.3715,629.755,493.9842,36,2
1,-2.9,0,2.1,57,8,8.41,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,506.7215,2550.0382,3069.2582,1252.7303,886.2969,726.0669,494.3149,398.5573,763.9788,4255.3486,2997.0907,1656.4244,685.7243,682.0035,615.1559,510.7964,13,0
0,-2.6,0,1.9,57,8,6.76,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,524.8589,2538.5105,3066.2662,1256.0014,875.2236,726.8703,496.8338,406.412,745.4565,4273.9491,3008.6295,1641.1874,660.4695,689.4129,622.665,484.6168,19,0
0,-2.1,0,2.5,56,9,4.41,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,526.9761,2514.5834,3082.9688,1213.0688,904.0857,716.3295,500.0517,417.9578,737.3836,4276.3212,3002.3673,1675.377,659.0926,697.1884,619.0804,487.8129,8,0
0,-1.9,0,2,55,8,3.61,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,544.9547,2554.3603,3061.9827,1205.585,899.1318,714.0956,501.2277,414.0992,748.4007,4266.5884,2968.2033,1678.664,660.6537,679.593,635.7418,482.6152,12,5
0,-1.9,0,2.3,56,9,3.61,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,548.4396,2545.7365,3049.3064,1224.7163,906.7302,713.7302,510.728,426.0584,747.7826,4218.3895,2984.2089,1659.9689,647.9535,675.7104,635.9868,511.8701,37,161
0,-1.9,0,2.5,66,9,3.61,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,574.8667,2542.303,3031.7595,1212.6061,925.2835,713.4863,517.5398,431.7673,759.6752,4248.1746,2973.5895,1668.6876,661.6567,680.5979,658.7549,538.8868,56,246
0,-2.2,0,2,81,9,4.84,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,549.6872,2469.1511,3039.5463,1199.5701,907.0188,734.231,517.8935,438.3799,754.8039,4174.7932,2932.8963,1639.6134,666.1195,680.5075,629.731,534.7857,85,416
0,-2.2,0,2,83,8,4.84,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,566.1793,2445.8786,2979.8742,1186.7689,891.3126,772.8655,530.9345,445.4824,734.9286,4060.9573,2869.5038,1686.3704,683.126,691.9868,650.1473,537.8985,171,789
0,-1.9,0.3,1.4,82,8,3.61,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,518.2788,2399.9479,2847.3887,1219.8663,880.3636,776.3128,516.6764,456.9606,686.8144,3916.1752,2790.5682,1644.2672,719.6571,730.6254,630.4952,534.122,188,1035
0,-0.8,0,0.7,81,7,0.64,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,575.6963,2348.6809,2849.6423,1245.1284,971.919,794.1095,530.3676,469.9947,732.5448,3896.1996,2789.9729,1647.9914,752.7486,793.803,686.5591,529.7216,186,980
0,0,0,3.3,80,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,637.0834,2428.9893,2874.238,1312.0558,1014.5956,785.4998,536.7211,427.9908,742.5658,3902.4411,2823.5763,1610.8288,803.0257,808.333,649.8822,532.8006,220,1083
0,1.4,0,2.4,74,6,1.96,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,774.3842,2553.8709,3096.9322,1358.0544,1052.0858,805.2971,529.9763,428.0588,693.9417,4098.2867,3010.0309,1666.6389,881.6837,803.6848,646.2579,541.7407,251,1307
2,1.4,0,3.6,67,3,1.96,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,808.9133,2719.6056,3235.9751,1387.0997,1044.7225,808.177,532.6915,408.0048,755.5868,4258.0445,3205.7348,1715.4634,952.7356,821.4102,658.2622,533.556,343,1489
0,2.4,0,3.5,55,1,5.76,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1002.3004,2882.892,3349.7157,1497.7037,1137.1555,804.7556,521.6277,408.1565,756.9006,4481.4933,3361.0543,1794.8592,992.1802,846.7926,654.9396,603.1208,367,1618
0,2.5,0,3.3,46,0,6.25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1297.0896,3120.7859,3486.664,1445.9994,1091.4846,807.2075,519.9179,428.9827,773.9112,4712.0271,3529.1173,1830.8999,994.0372,846.7644,629.5059,596.9327,388,2054
1,2.5,0,3,45,0,6.25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1600.7282,3374.3148,3669.4364,1451.9756,1119.0707,853.5617,554.4749,385.5774,799.1847,5063.1589,3639.9819,1920.2308,973.9869,899.8927,651.7925,562.35,465,2230
1,1.2,0,2.7,45,0,1.44,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1846.4531,3887.7327,3893.5444,1526.3762,1098.6465,859.1337,585.6299,408.6593,815.0186,5532.0384,3886.1084,1925.9611,903.5491,860.2495,648.4771,538.1844,464,2283
0,-0.5,0,2.9,40,0,0.25,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2041.3181,4151.5567,4015.2045,1517.6441,1046.2956,811.1428,574.8783,423.7561,833.3295,5673.6481,4022.5551,1985.6483,920.1534,852.6026,676.5605,577.2871,406,2227
