"y","past_rent","station_dist","bus_passenger","temp","m60","X18_19","f30","wet","m20","f25","f65","m35","sub_passenger","m5","m0","f40","m55","f60","m25","dust","f0","m45","m65","station_type","f55","m30","m50","f15","m70","wind","f70","f35","f45","f50","f20","m40","X9_10","m10","semester","X19_20","weekend","most_use","X10_11","f10","cloud","X17_18","X8_9","X7_8","rain","X22_23"
0,0,405,204,26.8,548.571,0,809.6805,92,592.2164,780.0263,537.0274,945.4014,0,485.011,648.1395,762.4103,705.3177,724.3682,713.6227,10,605.0639,843.0209,450.1667,0,783.8287,873.4412,694.809,444.8882,884.2786,3.3,1209.651,977.5421,782.0606,621.8678,608.0089,799.1301,0,303.2089,0,0,1,6299.9395,0,262.8234,10,0,0,0,1.7,0
0,0,89,159,11.3,807.0844,0,870.8058,24,914.578,942.9946,744.5215,988.2697,468,1467.5102,2182.6966,1654.4319,1056.0456,1012.1658,767.9494,62,2346.3722,1367.2104,654.266,0,1367.3702,755.4908,1069.8113,1438.2717,1238.9341,1.5,1858.5574,1431.4914,1876.3858,1357.3729,1053.4654,1145.6266,0,1845.1927,1,0,0,7725.0451,0,1965.4484,0,0,0,0,0,0
7,4,90,1001,23.9,442.5081,0,1025.6794,99,1220.5046,1438.1257,434.0409,965.0771,0,350.8257,226.2964,692.9575,575.4841,448.5084,1370.9776,18,236.5836,725.2965,317.1971,0,595.2398,999.815,654.2813,298.9641,565.1844,1.6,956.6517,958.5337,611.6614,571.6918,1729.9653,733.4696,0,94.7119,0,0,0,9708.6784,0,115.913,9,0,1,0,0,0
3,2,27,540,0.1,571.0418,0,878.4412,89,843.4092,897.3329,652.5,867.2278,0,561.553,1081.7595,895.0577,675.8872,797.4181,748.9068,176,896.2893,742.862,446.9016,1,1010.2063,596.3456,700.1333,676.7107,823.9672,3.8,1280.4819,1187.8802,923.4978,895.1998,884.6537,730.2414,0,558.4024,1,0,0,6904.1974,0,476.4125,10,1,0,0,0,0
3,4,88,321,13.9,430.6062,0,968.2847,58,696.3018,1040.1193,342.3376,768.2449,1653,260.4094,406.1408,637.6396,564.7221,473.2441,778.3599,7,445.7989,618.3297,274.6081,0,603.6313,880.1988,574.7571,335.7311,529.8942,3.6,921.7762,904.6157,559.3505,557.5815,835.5399,584.2045,0,135.3803,1,0,0,6871.665,0,159.3918,9,0,0,0,0,0
1,1,41,110,24.8,884.9102,0,1081.9029,77,673.6264,1029.9775,911.0741,1024.8144,0,631.4809,728.038,950.5754,1118.8774,1198.1802,924.668,11,866.8274,895.9481,588.063,0,1346.4815,921.8778,941.4814,571.9162,1366.1743,1.7,2259.0463,1098.9329,1109.5075,1106.4046,790.4628,869.3004,0,355.4733,1,0,0,7546.2627,0,401.9678,0,0,0,0,0,1
6,10,115,129,22.8,828.62,0,1049.8893,83,1387.1697,1411.4173,600.8874,1212.6062,0,578.2931,536.9543,951.1754,1017.9186,881.5593,1218.9508,13,456.2508,1022.7686,573.6298,0,1077.9289,925.2112,987.2001,521.2573,849.908,1.2,1452.253,1083.331,873.8294,872.8203,1765.284,989.8896,0,225.3103,1,0,1,10053.8595,0,223.1165,7,0,0,0,0,0
3,4,52,207,28.7,409.9901,0,571.1752,68,355.7561,606.6671,381.6855,694.64,0,248.7215,444.2499,453.644,635.9198,523.3599,548.3638,22,333.7543,600.4,330.8745,0,560.5955,560.941,554.7379,218.1476,513.7739,2.6,848.6297,540.5766,520.5594,560.7774,395.1185,584.3274,0,156.2774,0,0,0,4273.2383,0,131.3873,8,0,0,0,0,0
6,6,36,327,23,649.2488,0,1057.4189,59,1025.6229,1429.183,629.6783,1059.1272,0,751.4265,574.1206,999.1583,749.5481,822.5999,1239.573,41,492.7796,1016.8786,478.9203,0,1011.2324,1039.1644,760.6274,676.8245,812.1426,2.5,1321.3497,1043.9117,889.0037,879.4735,1340.5091,829.1834,0,350.1353,1,0,1,9234.5102,0,285.0397,4,0,0,0,0,0
0,0,232,26,27.4,522.7083,0,1706.1208,84,3742.4565,3612.2155,474.8782,1338.8754,0,729.1224,387.507,731.0914,764.3257,624.711,3741.9573,27,379.7288,985.1404,386.239,0,597.5913,1843.8775,756.9966,957.107,791.4575,3.5,1209.3442,1193.6066,732.7771,743.6055,5518.7483,886.154,0,178.8491,0,0,0,22697.8579,0,176.3448,9,0,0,0,0,0
2,1,61,270,21.4,456.2542,0,528.2969,77,353.2837,560.5906,486.3703,588.0035,431,200.5626,520.0723,582.4677,589.2787,580.0691,545.5043,13,523.6769,567.1142,314.5911,1,689.1833,534.9241,520.9067,244.1514,645.9222,4.1,1109.3054,624.8207,669.4519,647.7717,441.9097,534.0849,0,257.1686,1,0,0,4177.3335,0,254.1224,3,0,0,0,0,0
3,0,43,248,24.7,437.8557,0,728.173,58,802.3126,773.9152,523.843,724.9242,0,804.3097,1069.1169,823.6277,552.9209,794.366,673.0504,16,981.985,727.2669,414.3381,0,939.3231,591.6864,604.1819,684.8223,788.8493,4.4,1457.279,1026.2023,926.4009,797.3165,788.8097,664.0836,0,551.8765,1,0,0,6109.0738,1,521.9634,10,0,0,0,0,0
1,3,225,505,8,841.1904,0,1140.3511,62,802.7167,1298.7251,763.2986,1169.8391,5149,542.3096,881.9369,1170.3078,1109.6808,1084.1771,1038.5438,25,1070.04,1226.1814,557.6525,0,1127.1356,1111.9074,1118.5184,525.4166,1144.7243,1.7,1532.7662,1285.8419,1533.3612,1219.0699,985.8536,1197.7031,0,479.6787,1,0,0,8833.7787,0,559.2963,7,0,1,0,0,0
1,0,59,33,14.2,814.6466,0,1031.5359,92,724.9281,1114.8428,699.9023,1132.2862,355,842.1953,988.5245,1139.5872,1146.3427,997.6484,915.3714,6,1251.2827,1209.0023,623.678,0,1153.9967,900.7464,1236.917,915.0231,970.0294,1.8,1499.8684,1209.3948,1506.6193,1135.1143,827.9114,985.9777,0,537.6503,1,0,0,7857.017,0,654.0295,10,0,0,0,0.1,0
1,0,44,0,24.8,749.8572,0,984.4458,83,836.3817,1012.6947,618.9086,996.8733,0,957.71,965.5458,1097.9169,1001.5016,945.2442,905.9446,23,1153.9912,1084.283,586.9451,0,1092.4502,847.2525,1088.2906,1007.4583,1000.6167,2.5,1520.3447,1034.2977,1406.4734,1082.4767,830.6744,853.9101,0,525.1528,0,0,1,7448.5647,0,603.1763,10,0,0,0,0,0
0,1,92,127,1.8,631.5611,0,926.1077,73,611.3267,834.8329,592.2954,976.0193,0,503.5453,941.5493,887.5924,797.1729,786.9875,760.5042,50,795.5482,930.4175,446.6332,0,901.0929,872.9724,733.3818,508.8674,997.8973,3.4,1390.1094,1059.2245,835.2426,764.1054,680.273,905.9693,0,440.4706,1,0,1,6721.2607,0,345.564,8,0,0,0,0,1
0,0,220,329,21.4,466.11,0,1022.2754,99,1131.0089,1523.1945,430.8313,1032.9664,0,343.3316,381.652,747.8296,686.932,555.0333,1478.1568,23,389.5312,732.6291,381.7842,1,648.349,1070.5838,694.5884,342.8989,633.5639,1.9,1058.7854,1036.8328,660.8976,581.3324,1529.0616,769.4426,0,159.7333,0,0,0,9824.0802,0,190.8496,10,0,0,0,1,0
2,0,21,122,-4.3,339.2752,0,690.9423,69,405.4251,772.0083,352.9768,668.3455,761,231.899,362.477,486.7726,478.9293,457.9926,625.5859,42,478.3803,623.0593,250.6673,1,492.9115,628.5612,460.4958,204.6164,557.2154,3.2,816.2515,691.1127,425.6131,391.0407,552.9423,508.2295,0,120.8256,0,0,0,5034.9233,1,171.0405,2,0,0,0,0,0
0,0,59,423,19.6,842.594,0,1125.9613,97,989.6019,1109.1133,813.3243,1223.4006,1324,537.6482,976.1825,1271.5657,1098.5406,1116.3898,1003.1335,23.5,1212.2486,1249.6078,573.7513,0,1271.2915,996.6152,1155.1704,540.6984,1179.1235,2.6,1684.779,1311.9236,1400.0867,1283.1915,937.2438,1162.7085,0,530.9378,1,0,0,8696.9932,0,633.627,10,0,0,0,1,0
0,0,283,217,16.4,387.8127,0,954.45,82,1306.6229,1427.5744,310.7686,940.4783,0,391.8596,480.2156,606.6547,492.1677,433.8156,1470.9319,14,355.6308,556.8843,279.6335,0,460.1833,1016.3435,522.8853,355.8887,534.2573,1.4,884.2696,831.6846,551.3064,459.5032,1581.1999,616.4001,0,200.9849,0,0,1,9529.2855,0,174.2402,4,0,0,1,0,0
