"y","temp","rain","wind","wet","cloud","dust","sunny","semester","past_rent","X4_5","X5_6","X6_7","X7_8","X9_10","X10_11","X11_12","X12_13","X13_14","X14_15","X15_16","X16_17","X17_18","X18_19","X19_20","X20_21","X22_23","X23_24","m10","m5","m35","m45","m55","m70","f25","f30","f60","f65","bus_passenger","sub_passenger","weekend"
0,-2.9,0,2.1,57,8,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217.6059,506.7215,1252.7303,886.2969,726.0669,763.9788,2997.0907,1656.4244,615.1559,510.7964,13,0,1
0,-2.6,0,1.9,57,8,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227.333,524.8589,1256.0014,875.2236,726.8703,745.4565,3008.6295,1641.1874,622.665,484.6168,19,0,1
0,-2.1,0,2.5,56,9,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205.4296,526.9761,1213.0688,904.0857,716.3295,737.3836,3002.3673,1675.377,619.0804,487.8129,8,0,1
0,-1.9,0,2,55,8,41,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200.5852,544.9547,1205.585,899.1318,714.0956,748.4007,2968.2033,1678.664,635.7418,482.6152,12,5,1
0,-1.9,0,2.3,56,9,43,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190.5695,548.4396,1224.7163,906.7302,713.7302,747.7826,2984.2089,1659.9689,635.9868,511.8701,37,161,1
0,-1.9,0,2.5,66,9,43,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194.2145,574.8667,1212.6061,925.2835,713.4863,759.6752,2973.5895,1668.6876,658.7549,538.8868,56,246,1
0,-2.2,0,2,81,9,52,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191.4201,549.6872,1199.5701,907.0188,734.231,754.8039,2932.8963,1639.6134,629.731,534.7857,85,416,1
0,-2.2,0,2,83,8,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207.5685,566.1793,1186.7689,891.3126,772.8655,734.9286,2869.5038,1686.3704,650.1473,537.8985,171,789,1
0,-1.9,0.3,1.4,82,8,38,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,211.2466,518.2788,1219.8663,880.3636,776.3128,686.8144,2790.5682,1644.2672,630.4952,534.122,188,1035,1
0,-0.8,0,0.7,81,7,46,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,227.5877,575.6963,1245.1284,971.919,794.1095,732.5448,2789.9729,1647.9914,686.5591,529.7216,186,980,1
1,0,0,3.3,80,8,52,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,260.8058,637.0834,1312.0558,1014.5956,785.4998,742.5658,2823.5763,1610.8288,649.8822,532.8006,220,1083,1
0,1.4,0,2.4,74,6,65,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,262.8889,774.3842,1358.0544,1052.0858,805.2971,693.9417,3010.0309,1666.6389,646.2579,541.7407,251,1307,1
1,1.4,0,3.6,67,3,59,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,376.4642,808.9133,1387.0997,1044.7225,808.177,755.5868,3205.7348,1715.4634,658.2622,533.556,343,1489,1
2,2.4,0,3.5,55,1,62,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,377.1347,1002.3004,1497.7037,1137.1555,804.7556,756.9006,3361.0543,1794.8592,654.9396,603.1208,367,1618,1
1,2.5,0,3.3,46,0,46,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,399.0647,1297.0896,1445.9994,1091.4846,807.2075,773.9112,3529.1173,1830.8999,629.5059,596.9327,388,2054,1
