"y","temp","rain","wind","wet","snow","cloud","temp.sqr","sunny","past_rent","X5_6","X6_7","X7_8","X8_9","X9_10","X11_12","X12_13","X13_14","X14_15","X15_16","X16_17","X17_18","X18_19","X19_20","X20_21","X21_22","X22_23","X23_24","m10","m5","m20","m25","m30","m35","m45","m50","m65","m70","f0","f15","f20","f25","f30","f35","f40","f50","f60","f65","sub_passenger","f70"
0,1.8,0,1.4,37,0,0,3.24,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,312.8113,1951.9843,3481.3525,3627.6926,1972.7596,1616.5206,1026.4613,898.046,440.202,785.5772,828.4641,2255.1883,4648.2518,3286.5011,1735.9394,1368.0086,879.5719,816.4424,649.4567,581.6992,2177,1292.1359
0,0.5,0,1.5,38,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,288.6263,2263.3812,4061.439,3857.673,2021.4605,1588.2836,995.6357,881.8446,443.0869,747.7952,777.9175,2646.9193,5060.285,3510.5175,1746.7962,1263.0188,879.2243,786.7407,669.0835,566.1505,2172,1277.7392
0,-0.9,0,0.7,42,0,1,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,329.9373,2380.0975,4256.555,4122.9342,2106.8455,1541.2446,1068.9945,832.9198,453.6725,760.3326,673.987,2808.1361,5475.9384,3621.7632,1750.1372,1294.8336,894.2637,784.0434,655.461,534.6887,1919,1281.4106
0,-1.2,0,0.9,45,0,7,1.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,276.9508,2302.7393,4307.0667,4168.2017,2142.992,1517.6744,1070.2002,881.6793,444.6465,769.1565,584.2799,2620.2517,5433.5806,3618.2199,1765.6912,1328.7882,853.9846,784.2678,706.2706,559.3522,1822,1222.8802
0,-1.6,0,0.9,47,0,4,2.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,221.9256,1990.2825,3809.3629,3987.5885,2022.8202,1425.254,1046.1585,838.2168,438.4032,746.3631,505.39,2174.8429,5054.2346,3458.2767,1734.4228,1213.1176,840.3534,756.7894,680.7566,562.3245,3216,1215.1594
0,-2.4,0,2.1,49,0,3,5.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,255.7777,1010.5843,2966.0381,3306.7813,1845.7715,1368.3173,1025.4351,816.4539,424.2162,756.3511,380.3577,1027.2487,4384.5668,3166.2979,1643.6693,1187.2465,796.9554,779.8195,675.7285,561.7106,4686,1241.576
0,-2.5,0,1,49,0,6,6.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,237.5586,665.6039,2697.6954,3215.2554,1777.7479,1298.3517,974.7318,801.8453,442.2193,751.4911,388.5686,752.5396,4242.8454,3115.3854,1664.3515,1215.4682,782.2246,794.7583,695.5734,524.8618,1294,1222.1237
0,-2.6,0,0.9,52,0,8,6.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,212.8995,515.973,2496.8181,3131.7732,1621.3565,1229.9252,895.2271,730.9854,404.4098,784.51,300.0897,637.14,4208.4572,3002.7874,1629.9731,1097.3711,646.9265,672.8306,611.6483,501.4084,312,1108.3629
0,-2.8,0,2.3,55,0,7,7.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212.2175,527.3301,2528.0976,3054.5089,1649.3404,1254.9868,906.0489,725.6719,416.2185,770.8469,330.7562,598.9934,4230.2852,2960.1867,1675.7792,1067.6567,643.7032,677.3715,629.755,493.9842,2,1148.3885
0,-2.9,0,2.1,57,0,8,8.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217.6059,506.7215,2550.0382,3069.2582,1676.1082,1252.7303,886.2969,745.1448,398.5573,763.9788,341.9429,607.0678,4255.3486,2997.0907,1656.4244,1080.3975,685.7243,682.0035,615.1559,510.7964,0,1135.7623
0,-2.6,0,1.9,57,0,8,6.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227.333,524.8589,2538.5105,3066.2662,1675.8869,1256.0014,875.2236,744.1317,406.412,745.4565,344.1256,588.4983,4273.9491,3008.6295,1641.1874,1060.8378,660.4695,689.4129,622.665,484.6168,0,1126.2161
0,-2.1,0,2.5,56,0,9,4.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205.4296,526.9761,2514.5834,3082.9688,1698.6529,1213.0688,904.0857,750.5879,417.9578,737.3836,355.3955,605.8067,4276.3212,3002.3673,1675.377,1080.4464,659.0926,697.1884,619.0804,487.8129,0,1136.0043
0,-1.9,0,2,55,0,8,3.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200.5852,544.9547,2554.3603,3061.9827,1704.6129,1205.585,899.1318,728.445,414.0992,748.4007,338.3259,637.0526,4266.5884,2968.2033,1678.664,1103.7989,660.6537,679.593,635.7418,482.6152,5,1123.3199
0,-1.9,0,2.3,56,0,9,3.61,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190.5695,548.4396,2545.7365,3049.3064,1695.6564,1224.7163,906.7302,731.1179,426.0584,747.7826,324.6109,665.0012,4218.3895,2984.2089,1659.9689,1075.489,647.9535,675.7104,635.9868,511.8701,161,1157.4969
0,-1.9,0,2.5,66,0.1,9,3.61,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194.2145,574.8667,2542.303,3031.7595,1690.2626,1212.6061,925.2835,746.232,431.7673,759.6752,324.349,639.7209,4248.1746,2973.5895,1668.6876,1073.0664,661.6567,680.5979,658.7549,538.8868,246,1164.5989
0,-2.2,0,2,81,0.5,9,4.84,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191.4201,549.6872,2469.1511,3039.5463,1655.5987,1199.5701,907.0188,698.9761,438.3799,754.8039,314.2971,619.3514,4174.7932,2932.8963,1639.6134,1086.8994,666.1195,680.5075,629.731,534.7857,416,1183.6856
0,-2.2,0,2,83,0.5,8,4.84,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207.5685,566.1793,2445.8786,2979.8742,1677.396,1186.7689,891.3126,687.7629,445.4824,734.9286,317.0563,582.732,4060.9573,2869.5038,1686.3704,1089.1511,683.126,691.9868,650.1473,537.8985,789,1176.5494
0,-1.9,0.3,1.4,82,0.4,8,3.61,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,211.2466,518.2788,2399.9479,2847.3887,1660.2613,1219.8663,880.3636,685.5117,456.9606,686.8144,373.4072,589.3282,3916.1752,2790.5682,1644.2672,1116.403,719.6571,730.6254,630.4952,534.122,1035,1159.131
