"y","past_rent","station_dist","sub_passenger","bus_passenger","temp","station_type","m50","m30","f45","m20","f70","m45","f0","wet","f15","f50","f40","m40","m0","X8_9","m55","m5","f20","semester","m60","f30","wind","m35","f65","f60","f55","m65","f25","m70","m25","f35","dust","X17_18","cloud","most_use","X9_10","sunny","X10_11","rain","temp.sqr","X19_20","X13_14","X18_19"
4,8,116,0,168,12,1,870.2829,2112.9607,819.916,4724.7088,1202.7035,1086.5474,377.0267,74,1353.4498,815.1657,777.8058,974.3579,397.1426,0,837.1442,986.5002,6754.6093,1,537.8652,1878.4713,2.7,1433.5304,521.6258,656.6204,713.4089,397.6946,4275.8802,738.0467,4359.8582,1259.7266,13,0,0,26799.7455,0,1,0,0,144,0,0,0
1,1,128,2768,598,15.7,0,1177.4816,1666.5086,1219.6083,4029.8273,1261.1426,1347.968,796.7762,56,2741.243,1063.7223,1166.7848,1165.4363,597.58,0,987.4305,1880.3733,5691.9162,1,641.9586,1688.8163,2.3,1529.6538,608.7363,747.3361,1005.5951,541.8087,3141.041,988.9921,2846.104,1612.9515,44,0,9,22206.8187,0,1,0,0,246.49,0,0,0
2,5,554,3446,608,20.7,0,1024.6415,2450.9591,1075.2584,5079.5428,1239.3282,1302.2739,831.3332,25,2956.2249,940.2431,973.3879,1287.8622,807.8278,0,924.8206,2151.1937,6613.6701,1,589.6641,1996.6809,2.8,1762.9123,614.2699,721.8926,863.6833,460.8689,4378.7048,865.3934,4486.1114,1530.1858,44,0,8,28298.7672,0,1,0,0,428.49,0,0,1
0,0,17,723,111,24.6,1,783.7685,1895.5199,756.4884,3322.6564,1278.8198,951.6351,469.5513,86,851.4861,748.7634,767.0626,903.6663,465.2768,0,728.409,599.7139,5366.5925,0,530.5815,1911.0684,1,1315.1301,495.9026,596.4963,648.7752,418.2871,3915.1562,780.9913,3486.1949,1290.0682,19,0,2,22502.3866,0,0,0,0,605.16,0,0,0
2,4,611,0,196,14.3,0,811.5249,2019.2958,765.0615,4723.485,1120.5618,967.7024,323.3636,59,1460.7425,758.6172,794.4018,1010.5051,476.0575,0,827.4812,1242.9462,6676.8388,1,576.9359,1966.7178,1.3,1401.6776,524.5916,602.261,719.1078,429.0285,4271.3223,773.4004,4333.2341,1265.4212,28,0,0,26657.9926,0,1,0,0,204.49,0,0,0
0,0,83,4626,892,18,0,1085.1706,1704.2576,1123.1487,3903.2691,1447.909,1187.8846,342.5182,99,1350.951,983.1686,1004.9336,1146.0848,561.9112,1,1004.5249,1052.9131,5902.0604,1,651.2612,1702.7945,2.9,1451.6367,567.6318,741.1718,794.0568,463.4081,3422.6679,896.914,3106.7088,1290.7994,7,0,10,22484.1944,0,0,0,2.8,324,0,0,0
8,2,37,1,286,11.7,0,803.047,1891.6465,680.5298,4032.0171,1151.2972,966.265,314.1646,87,1286.26,760.8575,734.8679,887.031,406.6634,0,784.4508,993.68,6148.4587,1,524.3481,1863.6336,2.8,1402.2238,541.3641,621.1172,651.4332,391.753,3873.9304,830.54,3904.6284,1237.2141,15,0,8,24353.7526,0,1,0,0,136.89,0,0,0
7,2,83,2847,471,18.7,0,928.2139,1896.0428,886.8832,3626.6578,1297.7353,1168.5657,407.7556,82,1214.7777,862.9682,858.2087,1049.0705,481.7919,0,910.3815,1103.874,5868.5491,1,658.0895,1978.1349,2.2,1433.1289,566.24,669.8682,746.8947,446.2404,3872.558,838.9411,3469.4122,1404.576,75,0,8,23549.0597,0,1,0,0,349.69,0,0,0
1,1,546,3043,600,27.5,0,1021.5889,2063.2189,994.9091,3766.0891,1188.4919,1226.4243,972.3873,35,1551.7501,878.387,1071.9436,1143.3179,714.8718,0,863.8666,1126.6476,5721.1801,1,635.2011,2152.6741,2.1,1570.03,564.445,852.4899,942.7482,442.6132,3656.2385,828.7777,3398.6507,1527.4197,52,0,8,23855.5011,0,1,0,0,756.25,0,0,0
3,8,611,2607,560,27.2,0,945.8824,1916.4289,988.9953,3829.6966,1179.8144,1155.565,961.0842,63,2042.2167,982.2038,1045.8535,985.9395,1093.2674,0,869.6471,1413.4712,5493.8521,1,579.1853,1864.9923,1.5,1552.2847,543.9305,697.897,788.5297,486.6106,3622.3714,785.4871,3587.0017,1399.5351,24,0,9,23266.1628,0,1,0,0,739.84,0,0,0
5,5,51,4399,1107,10.5,0,1148.1839,2160.4561,1234.5575,5049.4998,1280.1812,1461.7914,483.2241,71,1847.9614,1203.6597,1261.7252,1374.5099,589.5051,0,1010.612,1374.9071,7267.255,1,746.9626,2267.9929,2.6,1910.8768,633.318,814.4528,1039.5417,548.2014,4284.3542,933.6976,3708.8602,1614.9007,43,0,3,28264.1957,0,1,0,0,110.25,0,0,1
0,1,611,9,64,-6.6,0,797.8125,1988.2171,803.4715,3980.1056,1228.4595,1091.9161,397.7236,56,1039.7802,811.9004,785.917,922.2251,436.3895,0,838.9102,836.3381,6582.5229,1,580.387,2064.3755,2.1,1397.5382,536.5094,636.0178,687.9344,401.5934,4158.8885,845.7083,3854.7768,1363.8186,12,0,0,25390.2432,0,0,0,0,43.56,0,0,0
2,0,83,1522,293,2.2,0,852.1097,1859.5005,867.0867,2915.827,1295.9231,1100.7051,498.4772,75,972.6531,875.8087,918.3346,1111.9155,471.0677,0,736.515,653.0653,4714.8129,0,592.5576,1924.7185,2,1614.345,529.3865,734.1373,742.8056,392.942,3381.7486,800.5033,3444.1813,1325.1011,142,0,8,21180.2349,0,1,0,0,4.84,0,0,0
5,5,232,2627,591,25,0,874.8055,2118.6759,1133.9567,4091.244,1181.8702,1043.2067,1035.2814,26,1907.9617,933.9901,1079.2434,1245.5808,653.0263,0,814.2594,1391.9681,5525.2926,1,577.026,2022.9108,3,1657.2764,587.9749,804.7059,842.0866,438.9029,3699.7467,839.2891,3641.9078,1668.9256,97,0,0,24425.9798,0,1,0,0,625,0,0,0
6,12,116,2853,682,29,1,1016.9939,2097.6703,1027.0539,4420.7692,1338.9546,1181.4324,554.9072,76,1920.8183,972.6448,988.5327,1251.1736,471.6376,0,875.2951,1191.0951,6529.4183,0,641.2354,2187.1344,2.6,1719.2029,585.4114,756.827,960.8673,438.9238,4401.5684,854.2794,4023.8152,1507.0002,40,0,2,26886.5789,0,1,0,0,841,0,0,0
3,1,611,3146,623,-0.7,0,1082.6247,2278.7204,1114.0929,5002.0913,1273.8067,1269.5652,434.4983,71,1618.1639,961.705,968.1328,1236.2323,491.2443,0,990.8078,1344.0723,7239.6578,1,618.469,2266.7173,5.5,1794.839,638.7406,779.6093,909.1967,516.0224,4541.3412,924.5121,4101.7185,1534.0811,75,0,8,28759.1666,0,0,0,0,0.49,0,0,0
3,0,37,1964,453,12,0,1141.9563,1794.3501,1067.7017,3671.5955,1274.8886,1293.3194,344.8695,29,1644.9321,1116.4647,1203.8217,1229.149,500.0228,0,1158.9375,1262.7765,5406.1441,1,780.5172,1863.2277,2.3,1584.0496,634.7894,775.5358,993.6311,506.1855,3193.5323,1061.9565,2915.3991,1547.5835,47,0,0,21975.8819,0,1,0,0,144,0,0,0
0,1,128,425,90,-7.8,0,732.4977,1565.0327,598.1213,2262.3253,1166.5379,931.0794,365.199,60,544.7355,638.9556,749.8017,861.4122,468.0582,0,626.4492,425.3582,3600.0761,0,483.0491,1481.3641,1.4,1179.0789,531.7288,598.1825,668.8103,406.2571,2577.4181,840.4545,2666.7811,1075.5689,42,0,0,16407.6452,0,0,0,0,60.84,0,0,0
0,0,554,2818,582,27.9,0,854.3771,1775.7547,860.4873,3142.7672,1294.1074,1022.5199,393.6683,77,927.5124,766.8589,832.4962,1028.2657,401.2175,0,827.8153,627.526,4824.5703,0,569.8112,1835.4881,1.2,1377.6087,495.894,660.6241,692.0995,473.3331,3345.6463,801.0579,3294.6478,1237.7597,10,0,6,20834.2428,1,1,0,0,778.41,0,0,0
0,0,554,14,37,10.1,0,791.1239,1874.3987,765.083,4102.702,1179.3458,1026.4991,378.7361,78,1049.5146,777.7185,740.6708,887.4055,401.2765,0,760.5839,800.2301,6035.3059,1,520.5428,1839.2939,2.9,1352.225,499.2457,637.8781,637.7648,421.7114,3901.8581,793.222,3752.8893,1213.9835,5,0,8,24072.6564,0,1,0,0,102.01,0,0,0
1,2,113,2077,447,33.5,0,970.3896,1982.8576,1017.2211,3505.9295,1367.8163,1116.7299,1121.7306,56,1686.606,878.5586,1108.5522,1182.3963,685.214,0,916.1826,1047.6741,5140.3119,0,615.5953,1960.9673,1.3,1600.0023,622.6549,691.7489,826.6992,450.9985,3679.5968,809.0975,3474.9759,1388.5648,58,0,3,22733.2061,0,1,0,0,1122.25,0,0,0
6,3,17,2074,400,21.3,1,906.6701,2082.5869,866.3688,3978.2381,1148.8302,1143.7642,895.7639,28,1629.3428,914.0289,970.3611,1115.0673,635.6188,0,825.0954,1259.3499,5602.2367,1,557.3602,1990.9259,3.1,1698.7093,554.1019,739.4308,758.8445,413.1481,3730.6846,805.141,3670.9737,1438.1104,55,0,0,24192.4656,0,1,0,0,453.69,0,0,0
7,5,128,3269,653,24,0,1090.4181,1587.204,1251.6915,4387.9605,1239.1067,1282.7902,419.4051,49,1527.5468,1122.7767,1097.1105,1118.017,573.0808,0,1069.5902,1238.2113,6255.2094,1,668.9282,1750.9722,1.2,1583.071,601.641,818.9832,980.321,456.6146,2993.8557,955.0648,3040.4472,1464.8622,38,0,8,23063.5822,0,1,0,0,576,0,0,0
1,0,51,2586,458,11.6,0,975.4556,1859.7399,844.2878,3607.2555,1219.6642,1191.0118,438.9051,63,1144.7584,905.5815,890.2577,1016.5948,557.7219,0,866.9881,1074.335,5746.6194,1,586.4578,1917.1917,1.6,1480.8018,569.8426,671.3226,792.0539,444.0566,3816.4991,895.6,3452.7866,1350.6217,45,0,9,23231.5157,0,1,0,0,134.56,0,0,0
1,3,128,1926,367,10,0,860.4639,1953.333,948.4098,3556.4239,1225.2279,1112.3898,616.5909,78,1272.1395,907.0688,943.332,1108.9183,856.1365,0,790.2704,812.7991,5932.3947,1,560.4603,1945.1356,2.5,1531.0673,564.7358,697.3213,771.6994,370.812,3633.6093,832.4759,3519.6126,1476.7273,24,0,9,23548.3037,0,1,0,0,100,0,0,0
5,5,83,2278,619,-2.9,0,886.1282,2080.8464,936.9461,4691.6915,1160.5789,1187.303,396.5906,53,1378.3697,855.2144,912.7865,1072.4902,473.3003,0,905.2326,1222.4218,6939.6944,1,658.0929,2198.8977,1,1548.8252,596.8986,671.2285,818.0805,436.1964,4420.787,871.0076,4092.0882,1441.5457,34,0,0,27414.3761,0,0,0,0,8.41,0,0,0
1,1,51,2094,526,-2.2,0,1116.2543,1800.2361,1154.9206,3197.5489,1317.1245,1318.7375,495.5261,75,1516.7309,1028.9063,1157.8503,1248.7689,555.4805,0,1047.3724,1280.8739,4678.7755,0,761.5736,1762.3418,4,1490.5238,727.2064,866.046,1047.4448,518.5721,3133.0569,949.2135,3014.8628,1473.2383,60,0,9,20550.5841,0,0,0,0,4.84,0,0,0
7,11,116,3565,738,25.2,1,1070.1162,2321.3697,1046.2473,4934.3289,1261.1543,1135.8916,502.6711,79,1628.155,934.4827,935.2297,1201.9964,425.9398,0,946.3039,1344.9355,6816.2207,0,645.5267,2280.4599,3.1,1799.0886,558.7765,712.4724,871.7862,453.8251,4552.0446,849.1739,4455.0836,1458.6464,20,0,0,28617.2424,0,1,0,0,635.04,0,0,0
0,0,17,1209,206,19.6,1,863.229,1916.6306,838.8023,3518.1784,1182.65,983.3657,375.1034,99,1008.8587,860.2729,771.4378,927.2691,516.292,0,804.9173,701.2227,5434.3801,1,517.3878,1679.0649,0.6,1241.4739,500.767,696.279,723.6733,412.5441,3395.7097,781.2213,3432.9867,1267.5509,8,0,10,21885.9752,1,0,0,2.8,384.16,0,0,0
0,0,17,644,83,11.5,1,765.274,1826.8044,793.5293,3813.1609,1209.35,1022.7032,324.4192,64,1132.5921,771.6906,782.3292,855.5855,491.2622,0,717.0418,886.9669,6032.627,1,529.3994,1950.895,0.6,1327.2531,546.3378,631.2744,694.2273,410.1048,3952.3293,826.8435,3674.8647,1304.1516,44,0,9,23882.086,0,0,0,0,132.25,0,0,0
1,0,232,971,224,-9,0,913.6647,2086.2992,924.705,3882.0438,1273.2956,1116.8353,382.9143,77,1030.1096,817.2872,858.5665,985.5457,412.0147,0,833.4047,799.2979,6260.5753,0,619.5761,2049.4661,1.9,1508.964,538.1167,640.4496,746.8039,447.13,4120.2709,820.7418,3651.0728,1329.1578,40,0,0,24887.8499,0,0,0,0,81,0,0,0
0,0,546,7,38,1.7,0,758.0217,1857.2332,780.5437,3415.6278,1187.7419,1021.1741,340.9211,59,1135.719,697.8829,815.4283,931.1373,401.3244,0,687.7201,809.6377,5661.7309,1,539.2435,1920.2416,2.3,1331.2417,528.0381,603.4646,662.0228,407.6611,3878.242,850.9678,3616.5096,1295.9353,57,0,0,22976.7621,0,1,0,0,2.89,0,0,0
0,0,51,2701,572,11.1,0,848.734,2066.627,1029.9301,3986.262,1289.291,1206.6174,1147.5527,77,1686.244,898.8267,913.0632,1180.4324,923.8663,0,783.9964,1335.3525,6426.2168,1,585.8595,1969.2785,2.4,1552.1099,540.9244,698.3177,779.5804,388.7662,4096.4991,899.2792,3919.9009,1518.9817,27,0,9,25535.8759,0,1,0,0,123.21,0,0,0
0,1,113,2394,434,7.7,0,898.7979,2353.2819,921.3586,5555.7078,1194.2978,1048.5656,628.3821,33,3027.1972,810.7922,894.5844,1088.4181,650.6015,0,827.0021,2816.6192,7226.978,1,553.8191,2074.1577,2.6,1604.0367,598.9892,614.7217,830.6121,420.5334,4395.8707,912.8303,4376.1075,1394.5479,28,0,0,28980.6882,0,1,0,0,59.29,1,0,0
1,4,83,3302,484,12.5,0,881.3422,2056.7393,818.7602,5062.6044,1138.2403,1085.9838,380.2512,70,1920.0871,918.5056,844.6136,974.0942,553.5446,0,902.7989,1648.8704,7141.7154,1,548.2042,2075.3259,2.6,1513.8321,637.2206,660.7278,790.7581,429.6666,4250.4979,857.4311,4347.6868,1426.4218,46,0,0,27874.8236,0,1,0,0,156.25,0,0,0
0,0,611,801,205,-7.8,0,746.9361,1833.4178,698.7596,2830.1402,1091.639,998.6463,385.6227,69,672.7532,737.9677,772.1839,836.2944,493.3452,1,717.7481,505.0524,4614.8164,0,534.3124,1805.3354,0.4,1236.2807,552.6264,671.4529,669.8513,397.3078,3614.2272,837.9516,3476.8791,1167.4465,25,0,0,20578.5433,0,0,0,0,60.84,0,0,0
1,2,232,2369,456,2.3,0,908.1411,2009.3608,1037.6445,3266.8288,1294.718,1148.5326,722.6584,52,1211.4285,972.215,1089.5,1132.4198,615.4489,0,893.7218,803.1972,5041.9497,0,660.7754,2021.1238,1.1,1655.2194,548.7666,697.4849,936.3764,478.7552,3912.2165,844.6782,3677.9653,1425.6452,84,0,9,23010.3095,0,1,0,0,5.29,0,1,0
1,5,51,3333,757,8.6,0,1068.0481,2153.2768,1026.9124,5389.2607,1270.986,1209.4011,531.4529,54,1815.7893,946.0389,998.8702,1113.864,547.1799,0,931.1976,1362.1081,7404.933,1,616.67,2164.641,2.6,1629.6468,576.4994,774.7888,846.9538,438.6303,4492.0507,881.7218,4116.2023,1570.8511,20,0,7,28920.8624,0,1,0,0,73.96,0,0,0
0,0,37,383,190,24.3,0,787.3433,1939.6874,773.7456,3740.2721,1215.4371,911.7171,404.7834,85,1002.7705,759.8242,777.3617,905.2384,430.6089,0,783.6032,735.8818,5739.5716,0,554.4006,1934.0405,1.7,1470.8639,488.1621,654.0443,712.3348,370.8694,4056.4131,749.7332,3775.4927,1330.4727,11,0,10,23986.814,0,0,0,0.8,590.49,0,0,0
0,0,17,2388,516,3.4,1,1100.1122,1749.381,1154.4261,2928.418,1404.9882,1303.6042,476.7358,34,1645.5226,992.4253,1155.6971,1261.2914,461.8531,0,1058.0175,934.4036,4549.071,0,682.6302,1728.5668,3.5,1545.842,597.5898,788.4725,1093.6286,514.9232,3105.9962,921.2286,2872.6687,1413.3382,61,0,0,19893.2819,0,1,0,0,11.56,0,0,0
0,0,546,815,195,1.4,0,764.7699,1873.5749,782.0906,3406.4142,1178.7636,1055.6505,357.3846,91,1011.2467,739.8179,877.4204,890.7314,457.304,0,728.1645,854.1116,5515.4988,1,564.7532,1893.8251,1.2,1283.688,518.3487,645.4596,672.6553,436.291,3753.3027,847.3698,3532.0198,1281.6937,51,0,0,22540.0172,0,1,0,0,1.96,0,0,0
10,23,611,3091,783,19.6,0,1179.6731,2279.9992,1173.3563,5118.9368,1310.3426,1460.9204,553.1978,31,2919.9648,1054.9373,1089.5715,1355.2717,698.7404,0,1042.2355,2184.0365,7700.4898,1,677.8368,2374.3266,3.6,2021.4318,635.8285,714.8976,984.7504,493.7161,4543.9789,979.5554,4177.881,1670.0926,170,0,0,29887.1367,0,1,0,0,384.16,1,0,0
2,1,51,4595,817,19.9,0,1083.8644,1740.3575,1022.4987,4012.661,1363.608,1186.8851,380.5001,92,1231.5964,967.7008,1038.361,1114.5118,522.8194,1,946.3461,1056.2673,6149.4701,1,669.9289,1782.8283,1.7,1458.0517,548.6342,714.8345,776.932,470.9529,3394.661,942.0312,3084.5787,1366.44,16,0,10,22989.0483,0,1,0,0,396.01,0,0,0
3,2,232,2695,635,27.1,0,1093.1266,1645.6539,1168.0513,3543.0639,1382.5609,1223.9143,710.6787,76,1488.8527,1038.4514,1048.3231,1121.4144,513.2674,0,971.0152,1035.9696,5041.1407,0,714.8125,1706.7521,2.4,1653.7494,607.7485,756.6564,977.4679,513.9639,2989.1935,994.5713,2829.7443,1295.6055,42,0,10,20704.9033,0,1,0,0,734.41,0,0,0
4,4,37,2912,664,-9.2,0,1072.4472,1779.6364,1165.814,3642.9644,1391.7695,1291.878,470.4788,53,1566.9384,1133.0006,1159.9863,1239.4516,487.9278,0,1052.2543,1073.5985,5427.3435,0,650.7529,1910.4751,5,1599.0917,585.6562,746.2519,1062.8282,479.9739,3169.6726,936.7666,3090.6703,1476.2419,21,0,1,22096.0959,0,0,0,0,84.64,0,0,0
14,10,611,2184,519,26.5,0,1181.7049,1660.5213,1264.4947,4278.6095,1310.3923,1420.9693,411.2567,62,1804.3895,1079.3171,1159.6773,1261.5136,748.3319,0,1032.036,1626.011,6130.2622,1,690.4206,1740.8754,2,1587.2055,627.5566,726.8812,961.7011,504.1949,3157.5577,967.4252,2877.1115,1375.7806,8,0,4,22807.9237,0,1,0,0,702.25,0,1,0
1,0,611,694,152,9.7,0,795.7189,1823.0918,819.2711,3524.8193,1198.8452,1048.1406,387.2537,73,939.9169,767.7614,708.3767,896.2311,455.1381,0,771.8669,784.0685,5503.7363,1,517.7456,1648.0413,1.9,1389.1325,495.1777,598.0158,665.9983,408.129,3784.5027,743.2587,3526.6755,1223.924,29,0,1,22423.9234,0,1,0,0,94.09,0,0,0
3,1,116,438,80,24.9,1,723.4783,1824.8828,742.5547,3401.0098,1213.7195,975.2599,411.3358,91,873.6853,750.4283,762.0951,887.2224,407.0337,0,740.4984,688.524,5198.3237,0,496.9587,1703.9946,2.3,1364.1946,469.0596,618.9127,640.8383,409.6586,3386.0169,808.1373,3490.9038,1180.8685,22,0,5,21550.1947,0,1,0,0,620.01,0,0,0
6,8,116,3539,679,15.4,1,934.1598,2559.4407,1044.1476,4950.0301,1259.484,1161.2286,566.3554,84,1531.6681,943.2531,921.9093,1211.4195,573.125,0,908.7232,1203.4826,7379.864,1,543.3839,2290.0048,1.7,1787.9468,565.0301,691.3702,825.0463,429.0873,5069.3507,819.3334,5071.9407,1412.8855,15,0,9,30521.4633,0,1,0,0,237.16,0,0,0
2,0,17,0,23,13.9,1,718.0009,1804.8432,755.1016,3725.4713,1129.0283,967.2857,352.0176,69,1139.2322,728.4592,760.7288,884.2709,396.299,0,709.9125,902.6817,5917.9103,1,498.2753,1926.2846,2.5,1374.6399,537.8263,658.6579,631.7729,419.2547,3860.5999,818.8015,3676.047,1213.9204,27,0,7,23499.7166,0,1,0,0,193.21,0,0,0
12,6,83,3872,769,16.3,0,1121.321,1799.5681,1186.7776,4586.6722,1268.6756,1339.8982,470.1506,48,1575.4076,968.6965,1033.8714,1112.7165,478.2817,0,985.5713,1342.5514,6383.8846,1,645.8133,1804.0686,2.1,1437.5901,583.26,757.5276,1029.4562,458.4162,3240.7466,986.5672,3097.6205,1464.6142,49,1,0,23814.7649,0,1,0,0,265.69,0,0,0
2,0,113,2867,522,6.3,0,972.0893,1897.5,935.0861,3653.4808,1272.449,1239.4499,391.566,68,1024.5852,902.5639,895.7126,1060.921,429.5328,0,884.1848,902.0149,6028.8022,1,645.4298,1932.8131,0.7,1349.7925,571.1181,716.49,770.3093,433.3872,3856.7678,797.4893,3506.756,1506.0716,10,0,0,23731.984,0,0,0,0,39.69,0,0,0
3,5,37,1144,232,10,0,789.0079,1864.0708,854.8351,3389.0611,1145.5108,1019.2394,432.4701,52,1105.5478,795.8511,756.9004,927.0855,423.3007,0,752.8267,859.8795,4932.4345,1,488.4414,1714.3828,1.1,1419.1264,504.0869,670.3474,648.0886,428.4013,3291.4554,716.5212,3268.0676,1274.4157,49,0,0,21153.0143,0,1,1,0,100,0,0,0
1,1,116,0,9,7.2,1,709.1248,1888.3214,798.6344,3399.6656,1136.8252,1023.3244,387.2294,64,1013.3038,726.9772,833.5413,876.4097,495.9012,0,759.5858,746.1996,5400.6829,0,561.2407,1909.7838,2,1275.7827,546.6351,605.8525,642.687,386.8788,3677.4544,841.935,3530.8396,1174.931,31,0,10,22257.4614,0,1,0,0,51.84,0,0,0
1,0,232,10,59,7.7,0,790.9734,1936.5134,774.8101,4019.5534,1177.0756,1047.1732,384.2269,84,1127.2105,738.3262,760.3698,953.6066,380.0119,0,751.4603,941.0513,6474.701,1,529.2061,1916.9272,2.3,1337.2271,510.6521,647.9699,638.2134,373.8232,4188.8235,813.8458,3848.0333,1332.3341,44,0,8,25054.113,0,1,0,0,59.29,0,0,0
0,0,546,3908,596,-1.2,0,777.0778,1577.1068,741.9769,2385.0616,1152.6723,1033.2151,371.3384,41,771.0729,698.2034,755.3277,891.8495,542.2141,0,742.3616,610.3767,3267.2619,0,532.9014,1399.2001,3.6,1162.2122,514.3838,641.9932,719.4603,394.531,2442.2387,806.0054,2580.1318,1025.6732,39,0,0,15838.8863,0,0,0,0,1.44,0,0,0
0,1,83,0,19,3.3,0,714.4022,1771.1571,663.7985,2920.0756,1109.6454,989.8976,345.7015,82,687.2908,716.7551,755.3361,834.0826,377.5283,0,693.8027,454.8401,4933.0452,0,501.913,1818.1656,2.2,1336.9759,485.3825,611.4847,692.8198,402.5551,3478.578,754.157,3577.6336,1209.4126,142,0,7,21045.0436,0,1,0,0,10.89,0,0,0
5,17,116,1681,380,26.9,1,1133.9233,1587.4747,1120.7058,3311.2698,1345.6934,1282.2166,394.8878,85,891.5354,960.6366,1126.9446,1194.082,691.064,0,961.6229,780.0955,4573.0913,0,737.1525,1720.8026,2.7,1487.0964,611.6823,771.417,979.1219,504.314,2908.0179,880.6688,2722.2936,1459.4827,14,0,8,19769.529,0,1,1,0,723.61,0,0,0
1,1,611,2353,491,5.3,0,920.3458,2153.6355,901.7706,3764.8976,1301.7441,1194.4165,808.2045,47,2067.5783,920.5636,993.2882,1100.1319,788.3648,0,801.0804,1561.7945,5737.151,0,585.0321,1949.7408,1.6,1639.8865,575.1712,680.3464,799.2659,447.4293,3973.3998,889.8649,4044.2373,1332.1488,124,0,0,24595.0973,0,1,0,0,28.09,0,0,0
0,0,51,21,41,22.7,0,785.3552,1898.1036,732.8984,3490.0955,1290.9208,938.4625,471.4782,87,932.5692,794.1926,761.0239,994.6095,399.8205,0,845.2078,646.0016,5736.9126,0,528.7248,1870.5207,2.1,1293.7067,465.9476,602.8188,672.6154,426.218,3973.1673,800.5033,3719.2354,1384.5009,16,0,3,23366.2427,0,1,0,0,515.29,0,0,0
0,0,554,2840,570,14.5,0,900.689,2364.5946,997.4539,5015.5622,1331.8533,1240.8835,658.8321,69,2363.0002,918.9587,1049.7218,1129.6874,690.3613,0,920.5453,2176.3567,6391.7974,1,597.5691,2113.7185,3.5,1868.7384,583.9687,717.8199,932.724,478.9159,4304.3569,905.5889,4316.413,1460.8864,30,1,8,27836.0674,0,1,0,0,210.25,0,0,0
0,0,83,655,89,23.3,0,812.4929,1878.5772,777.1049,3334.6078,1248.1193,937.0241,350.5578,98,880.9543,778.7266,755.5685,932.0443,424.6088,0,761.7222,597.1186,5470.1494,0,553.8178,2002.1066,1.3,1353.74,482.7417,630.5441,696.4901,414.5642,3980.0706,820.0088,3690.2036,1371.0955,10,0,10,23080.5507,0,0,0,0.3,542.89,0,0,0
0,0,232,0,63,-4.8,0,697.4481,1865.9246,765.2929,3097.592,1164.1534,954.496,347.5755,57,855.9434,741.4092,815.3741,911.3009,451.0665,0,771.0753,493.7069,5331.2205,0,508.1932,1924.8561,2.3,1198.8469,518.1101,630.9248,633.4945,388.1274,3765.9973,821.9248,3555.8614,1217.8842,23,0,0,21958.183,0,0,0,0,23.04,0,0,0
0,0,546,0,115,12.5,0,754.3204,2058.4524,802.8972,4383.9703,1200.3659,984.4036,345.2369,74,1107.4759,747.894,714.2831,934.5695,396.7041,0,762.9007,879.0734,6449.544,1,565.4435,1822.9184,1,1363.7584,493.1623,606.0537,612.3591,395.8853,4083.2001,746.8339,4152.3166,1269.8858,65,0,0,25584.046,0,0,0,0,156.25,0,0,0
0,0,17,409,274,25.7,1,736.1314,1974.0743,725.6926,3730.6871,1166.9914,982.2363,342.5428,89,1027.1821,775.0877,750.8032,915.693,496.5317,0,776.9894,664.1886,5916.831,0,546.7079,1963.1367,3.5,1408.2913,495.5484,679.6562,705.4035,400.0306,4046.2874,783.8123,3797.2384,1304.0204,17,0,10,24140.5666,0,0,0,0.8,660.49,0,0,0
4,0,116,1556,396,7.1,1,1060.6097,1719.9694,1151.5032,3904.625,1339.9062,1243.6593,454.1658,46,1665.7772,955.7482,1118.3838,1125.3465,675.2177,0,995.9935,1771.7778,5447.4527,1,660.8767,1799.4966,3.7,1556.6968,615.3719,777.1376,965.9492,493.8801,3159.6258,922.2665,2950.2604,1421.6313,43,0,10,21959.758,0,1,0,0,50.41,0,0,0
8,14,37,0,110,21.6,0,824.9024,2121.3973,778.0698,4790.8893,1223.2921,1040.6087,408.0643,81,1481.6368,796.5016,767.5994,952.0669,429.2983,0,774.7199,1016.5028,6447.2115,1,498.3955,1993.4915,1.7,1421.2274,525.3837,624.0304,658.4192,431.5928,4043.3782,794.5851,4104.0697,1270.3366,51,0,4,26192.0015,0,1,0,0,466.56,0,0,0
2,4,37,1601,296,24.8,0,806.5964,1624.7748,853.8272,3123.4141,1121.6641,965.626,528.4622,57,1129.5043,811.0969,659.2344,844.7006,579.4569,0,849.1238,933.48,4149.4798,1,573.4759,1295.8974,2.1,1223.1621,521.9761,627.1395,678.1648,391.5458,2591.9863,759.5565,2952.5317,1068.7646,31.5,0,9,18030.0108,0,1,0,0,615.04,0,0,0
4,14,611,2846,669,18,0,1075.6812,1676.2669,1224.5517,4075.0309,1319.1667,1299.9935,581.3151,42,1778.1862,1037.3171,1115.1408,1252.834,594.6186,0,1105.9108,1334.855,5953.002,1,708.4463,1679.6257,2.2,1574.5284,583.7584,785.9291,982.0005,501.3293,3151.6204,889.8568,2906.0721,1401.4833,49,0,0,22417.6297,0,1,0,0,324,0,0,0
3,1,546,3298,654,24.5,0,1006.8253,2300.3314,1137.6287,4568.9177,1179.0161,1228.9515,982.1899,48,2035.7722,921.048,1004.8666,1237.2163,759.6124,0,986.7247,1627.5522,6591.1391,0,674.0471,2175.7881,2.7,1770.3315,598.0636,732.1513,869.6936,432.5565,4370.3761,877.392,4267.9361,1574.8874,22,0,1,27619.7074,0,1,0,0,600.25,0,0,1
