"y","past_rent","station_dist","sub_passenger","bus_passenger","temp","station_type","m50","m30","f45","m20","f70","m45","f0","wet","f15","f50","f40","m40","m0","X8_9","m55","m5","f20","semester","m60","f30","wind","m35","f65","f60","f55","m65","f25","m70","m25","f35","dust","X17_18","cloud","most_use","X9_10","sunny","X10_11","rain","temp.sqr","X19_20","X13_14","X18_19"
1,1,116,0,96,-12.1,1,807.8713,1964.6016,878.0595,3793.0105,1280.0599,1020.2398,390.2028,65,1006.3926,776.3677,744.4973,943.4453,370.5267,0,799.7353,788.8031,6028.9091,0,543.2408,2048.4622,4.4,1517.1609,489.0587,608.8694,684.6656,400.764,4107.1123,787.118,3831.2149,1304.0721,27,0,4,24594.5436,0,0,0,0,146.41,0,0,0
4,1,232,1230,267,26,0,867.3631,1636.1794,945.1477,2868.6075,1074.6566,1064.8915,544.3163,69,1114.4045,873.2546,851.5489,972.6478,632.1335,0,818.363,684.58,4449.3265,1,549.8161,1615.7792,1.7,1430.2902,559.0595,650.4149,827.9579,400.7091,2913.7954,682.8288,2927.6768,1203.2642,41,0,8,19044.9192,0,1,0,0,676,0,0,0
2,1,113,3800,700,20.7,0,920.4201,2310.7217,915.2927,5294.5553,1229.8451,1068.8945,568.648,64,1669.8706,879.8564,963.3183,1127.6912,523.1152,0,894.1909,1274.9076,7144.7044,0,639.2689,2101.3199,2.3,1625.1765,569.7402,700.5227,792.4339,430.495,4492.9669,842.9719,4716.9925,1518.566,19,0,0,29205.0032,0,1,0,0,428.49,0,0,0
1,1,113,4042,862,1.4,0,1134.5099,2006.2423,1182.6253,3620.0609,1348.2794,1284.92,712.1477,38,1839.9118,1063.1188,1105.9241,1321.1677,596.5695,0,1022.9448,1024.5248,5552.7208,0,671.8954,2095.4001,3.8,1656.6752,628.672,792.7618,1004.3803,539.1657,3671.8155,930.9785,3324.5093,1491.5593,30,0,0,23418.9834,0,1,0,0,1.96,0,0,0
0,0,554,2379,497,10,0,1051.356,2221.9008,1011.2406,4742.4937,1166.3573,1283.4612,413.4144,48,2035.2342,900.1162,989.5265,1222.274,519.4113,0,910.8073,1882.5874,6552.4976,1,684.4134,2107.3759,1,1593.816,607.2355,669.7818,808.3666,463.6356,4199.0717,859.1797,4039.9714,1476.7583,61,0,3,26933.8854,0,0,0,0,100,0,0,0
0,3,554,3994,863,14,0,1026.0708,1797.9123,1104.0989,4672.5172,1243.1332,1215.6632,475.128,82,1618.2108,1013.5209,982.952,1218.7211,450.4829,0,1215.6194,1383.7912,6376.3275,1,730.9569,1872.1394,2.8,1589.8828,569.6187,725.0273,968.4356,490.2173,3354.8258,943.009,3165.5345,1377.2748,41,1,10,24206.4143,0,1,0,0,196,0,0,0
1,0,611,2390,409,-4,0,952.5671,1771.1274,926.4106,2700.5523,1270.5529,1171.3598,393.2866,76,621.6162,801.5529,762.7603,1006.0616,497.5077,0,948.0406,489.7856,4735.728,0,608.9792,1936.5794,2.5,1409.4014,567.9657,672.485,786.05,471.0293,3485.6262,819.309,3341.18,1283.4648,37,0,0,20663.6595,0,0,0,0,16,0,0,0
0,0,546,1567,380,21.4,0,820.7793,1931.4624,809.5892,3334.598,1193.7179,1017.8426,444.1785,65,1022.2068,832.8853,790.7263,958.4424,366.818,1,780.925,765.8914,5564.9775,1,550.4008,1784.7685,3.6,1291.5092,539.5226,685.2002,670.9568,409.7652,3734.6131,827.7972,3588.676,1289.4381,5,0,8,22520.0428,0,1,0,0,457.96,0,0,0
8,5,37,2980,625,-1.3,0,994.0938,1752.4575,1147.6597,4472.8852,1311.9483,1316.8713,493.5933,39,1625.4639,1091.4944,1114.078,1171.5683,506.7757,0,1043.4282,1310.1579,6372.9343,1,716.89,1801.5318,2,1507.9962,569.8923,794.1783,985.5324,499.5477,3197.211,945.2699,2892.8317,1479.6124,36,0,0,23477.4601,0,0,0,0,1.69,0,0,0
13,27,611,4134,798,23.8,0,1101.7917,1734.7215,1272.073,4759.1372,1223.1915,1341.9249,536.0116,51,1661.6107,1036.6452,1005.0748,1144.7596,565.0515,0,1093.3172,1179.5289,6423.1205,1,662.7293,1842.7808,2.3,1586.4143,574.2596,769.0102,981.0714,472.2632,3193.2113,926.1467,3225.2307,1527.031,42,1,9,24291.6473,0,1,0,0,566.44,0,0,0
