"y","temp","rain","wind","wet","cloud","temp.sqr","sunny","semester","past_rent","X1_2","X2_3","X3_4","X4_5","X5_6","X6_7","X7_8","X8_9","X9_10","X10_11","X11_12","X12_13","X13_14","X14_15","X15_16","X16_17","X17_18","X18_19","X19_20","X20_21","X21_22","X23_24","m0","m10","m5","m20","m25","m30","m35","m45","m55","m60","m65","m70","f20","f25","f30","f45","f50","f60","f65","f70","bus_passenger","sub_passenger"
0,-0.1,0,1.5,32,1,0.01,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,625.9619,288.905,876.6455,2626.8551,3114.6131,1903.0784,1479.5145,1019.1622,809.2896,516.0127,455.5889,770.7484,4179.6607,3095.74,1604.3219,892.3504,767.3724,662.9924,539.4187,1302.6493,317,1333
0,1.3,0,2.2,32,1,1.69,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,694.8158,320.6838,1100.0851,2781.1102,3183.4582,1878.3498,1569.3377,1007.1156,798.1733,503.9361,426.191,781.2048,4305.561,3120.8955,1664.2449,906.0148,788.0211,650.5356,532.675,1240.5739,289,1564
3,1.9,0,1.7,35,0,3.61,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,768.3739,354.6337,1533.5207,3021.9892,3308.7379,1904.7691,1631.5211,1075.261,810.2722,516.2654,425.5368,811.7398,4504.0262,3165.0785,1726.6451,945.9123,775.275,641.0388,560.3337,1237.8167,334,1831
4,1.8,0,1.4,37,0,3.24,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,677.759,312.8113,1951.9843,3481.3525,3627.6926,1972.7596,1616.5206,1026.4613,856.0725,575.7618,440.202,785.5772,4648.2518,3286.5011,1735.9394,954.1123,816.4424,649.4567,581.6992,1292.1359,393,2177
3,0.5,0,1.5,38,0,0.25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,625.3572,288.6263,2263.3812,4061.439,3857.673,2021.4605,1588.2836,995.6357,888.3974,579.374,443.0869,747.7952,5060.285,3510.5175,1746.7962,943.3894,786.7407,669.0835,566.1505,1277.7392,436,2172
4,-0.9,0,0.7,42,1,0.81,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,714.8656,329.9373,2380.0975,4256.555,4122.9342,2106.8455,1541.2446,1068.9945,851.4151,619.3034,453.6725,760.3326,5475.9384,3621.7632,1750.1372,987.391,784.0434,655.461,534.6887,1281.4106,374,1919
0,-1.2,0,0.9,45,7,1.44,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,600.0606,276.9508,2302.7393,4307.0667,4168.2017,2142.992,1517.6744,1070.2002,842.4864,617.974,444.6465,769.1565,5433.5806,3618.2199,1765.6912,986.3548,784.2678,706.2706,559.3522,1222.8802,305,1822
0,-1.6,0,0.9,47,4,2.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,480.8395,221.9256,1990.2825,3809.3629,3987.5885,2022.8202,1425.254,1046.1585,864.8032,558.3138,438.4032,746.3631,5054.2346,3458.2767,1734.4228,908.8601,756.7894,680.7566,562.3245,1215.1594,482,3216
1,-2.4,0,2.1,49,3,5.76,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,554.185,255.7777,1010.5843,2966.0381,3306.7813,1845.7715,1368.3173,1025.4351,802.2568,546.7402,424.2162,756.3511,4384.5668,3166.2979,1643.6693,866.2712,779.8195,675.7285,561.7106,1241.576,634,4686
3,-2.5,0,1,49,6,6.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,514.7113,237.5586,665.6039,2697.6954,3215.2554,1777.7479,1298.3517,974.7318,810.0397,568.5069,442.2193,751.4911,4242.8454,3115.3854,1664.3515,842.5428,794.7583,695.5734,524.8618,1222.1237,340,1294
1,-2.6,0,0.9,52,8,6.76,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,461.283,212.8995,515.973,2496.8181,3131.7732,1621.3565,1229.9252,895.2271,759.3371,509.645,404.4098,784.51,4208.4572,3002.7874,1629.9731,746.8139,672.8306,611.6483,501.4084,1108.3629,124,312
0,-2.8,0,2.3,55,7,7.84,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,459.8054,212.2175,527.3301,2528.0976,3054.5089,1649.3404,1254.9868,906.0489,728.0094,491.5773,416.2185,770.8469,4230.2852,2960.1867,1675.7792,749.1479,677.3715,629.755,493.9842,1148.3885,36,2
0,-2.9,0,2.1,57,8,8.41,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,471.4803,217.6059,506.7215,2550.0382,3069.2582,1676.1082,1252.7303,886.2969,726.0669,494.3149,398.5573,763.9788,4255.3486,2997.0907,1656.4244,770.2866,682.0035,615.1559,510.7964,1135.7623,13,0
0,-2.6,0,1.9,57,8,6.76,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,492.5551,227.333,524.8589,2538.5105,3066.2662,1675.8869,1256.0014,875.2236,726.8703,496.8338,406.412,745.4565,4273.9491,3008.6295,1641.1874,754.7675,689.4129,622.665,484.6168,1126.2161,19,0
0,-2.1,0,2.5,56,9,4.41,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,445.0988,205.4296,526.9761,2514.5834,3082.9688,1698.6529,1213.0688,904.0857,716.3295,500.0517,417.9578,737.3836,4276.3212,3002.3673,1675.377,739.2058,697.1884,619.0804,487.8129,1136.0043,8,0
0,-1.9,0,2,55,8,3.61,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,434.6023,200.5852,544.9547,2554.3603,3061.9827,1704.6129,1205.585,899.1318,714.0956,501.2277,414.0992,748.4007,4266.5884,2968.2033,1678.664,754.1053,679.593,635.7418,482.6152,1123.3199,12,5
0,-1.9,0,2.3,56,9,3.61,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,412.9007,190.5695,548.4396,2545.7365,3049.3064,1695.6564,1224.7163,906.7302,713.7302,510.728,426.0584,747.7826,4218.3895,2984.2089,1659.9689,731.9394,675.7104,635.9868,511.8701,1157.4969,37,161
0,-1.9,0,2.5,66,9,3.61,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,420.7984,194.2145,574.8667,2542.303,3031.7595,1690.2626,1212.6061,925.2835,713.4863,517.5398,431.7673,759.6752,4248.1746,2973.5895,1668.6876,746.2945,680.5979,658.7549,538.8868,1164.5989,56,246
0,-2.2,0,2,81,9,4.84,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,414.7436,191.4201,549.6872,2469.1511,3039.5463,1655.5987,1199.5701,907.0188,734.231,517.8935,438.3799,754.8039,4174.7932,2932.8963,1639.6134,735.9822,680.5075,629.731,534.7857,1183.6856,85,416
0,-2.2,0,2,83,8,4.84,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,449.7321,207.5685,566.1793,2445.8786,2979.8742,1677.396,1186.7689,891.3126,772.8655,530.9345,445.4824,734.9286,4060.9573,2869.5038,1686.3704,738.8499,691.9868,650.1473,537.8985,1176.5494,171,789
0,-1.9,0.3,1.4,82,8,3.61,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,457.7015,211.2466,518.2788,2399.9479,2847.3887,1660.2613,1219.8663,880.3636,776.3128,516.6764,456.9606,686.8144,3916.1752,2790.5682,1644.2672,762.4441,730.6254,630.4952,534.122,1159.131,188,1035
0,-0.8,0,0.7,81,7,0.64,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,493.107,227.5877,575.6963,2348.6809,2849.6423,1654.5955,1245.1284,971.919,794.1095,530.3676,469.9947,732.5448,3896.1996,2789.9729,1647.9914,785.2918,793.803,686.5591,529.7216,1192.8083,186,980
0,0,0,3.3,80,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,565.0802,260.8058,637.0834,2428.9893,2874.238,1704.4265,1312.0558,1014.5956,785.4998,536.7211,427.9908,742.5658,3902.4411,2823.5763,1610.8288,816.1618,808.333,649.8822,532.8006,1304.3411,220,1083
3,1.4,0,2.4,74,6,1.96,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,569.5927,262.8889,774.3842,2553.8709,3096.9322,1808.7333,1358.0544,1052.0858,805.2971,529.9763,428.0588,693.9417,4098.2867,3010.0309,1666.6389,866.4332,803.6848,646.2579,541.7407,1288.6323,251,1307
2,1.4,0,3.6,67,3,1.96,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,815.6734,376.4642,808.9133,2719.6056,3235.9751,1888.7752,1387.0997,1044.7225,808.177,532.6915,408.0048,755.5868,4258.0445,3205.7348,1715.4634,935.6483,821.4102,658.2622,533.556,1370.8558,343,1489
4,2.4,0,3.5,55,1,5.76,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,817.1264,377.1347,1002.3004,2882.892,3349.7157,1954.7321,1497.7037,1137.1555,804.7556,521.6277,408.1565,756.9006,4481.4933,3361.0543,1794.8592,968.025,846.7926,654.9396,603.1208,1245.7425,367,1618
1,2.5,0,3.3,46,0,6.25,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,864.6418,399.0647,1297.0896,3120.7859,3486.664,2063.8073,1445.9994,1091.4846,807.2075,519.9179,428.9827,773.9112,4712.0271,3529.1173,1830.8999,954.9945,846.7644,629.5059,596.9327,1216.4534,388,2054
0,2.5,0,3,45,0,6.25,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,777.8725,359.0176,1600.7282,3374.3148,3669.4364,2082.8798,1451.9756,1119.0707,853.5617,554.4749,385.5774,799.1847,5063.1589,3639.9819,1920.2308,956.3247,899.8927,651.7925,562.35,1290.0584,465,2230
0,1.2,0,2.7,45,0,1.44,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,741.337,342.155,1846.4531,3887.7327,3893.5444,2206.5296,1526.3762,1098.6465,859.1337,585.6299,408.6593,815.0186,5532.0384,3886.1084,1925.9611,984.5096,860.2495,648.4771,538.1844,1274.2889,464,2283
3,-0.5,0,2.9,40,0,0.25,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,650.3535,300.1627,2041.3181,4151.5567,4015.2045,2201.5787,1517.6441,1046.2956,811.1428,574.8783,423.7561,833.3295,5673.6481,4022.5551,1985.6483,958.3552,852.6026,676.5605,577.2871,1177.0982,406,2227
0,-1.6,0,2,41,0,2.56,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,648.1827,299.1611,1931.3085,4383.8353,4121.813,2198.7499,1547.3232,1060.9019,823.536,552.3845,427.686,829.5648,5723.259,3991.8154,1914.8314,902.1259,810.5095,648.6117,559.4414,1223.7716,371,2152
0,-2.6,0,1.6,46,0,6.76,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,580.0914,267.7345,1639.9636,3990.1439,3996.4277,2047.8595,1432.3184,1073.7328,808.785,540.6714,408.2072,788.7672,5350.0875,3893.08,1875.5813,898.2168,785.26,691.6397,551.7985,1219.6571,469,3853
0,-2.9,0,2.7,48,0,8.41,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,558.5282,257.7822,906.2387,3147.1985,3656.7708,1917.7334,1363.413,1028.2462,811.96,547.0492,427.58,778.7249,4760.5238,3619.6258,1843.4158,847.5671,799.0475,666.741,551.3256,1175.6434,642,4295
1,-3.8,0,2.1,49,0,14.44,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,576.0977,265.8909,642.8577,2838.5561,3555.0641,1884.5123,1342.2597,1039.9894,763.2258,558.7961,434.2469,793.1548,4706.2114,3542.5483,1842.3086,827.7268,799.6374,683.2331,564.4722,1165.0347,290,1183
0,-4.4,0,2.9,48,0,19.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,454.4504,209.7458,412.8902,2702.1775,3454.4892,1756.178,1322.5,983.0021,704.2859,527.5285,409.5073,750.5164,4753.8475,3512.6591,1853.8448,705.2005,693.2796,613.1592,500.2525,1144.6911,116,296
1,-5.2,0,1.6,51,1,27.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,470.1789,217.0054,429.0108,2739.8139,3483.7838,1746.7593,1301.7749,991.3523,702.5412,527.1577,412.3134,760.0452,4745.3337,3556.0776,1867.0894,710.2858,685.142,623.4963,494.7284,1090.2994,54,0
1,-5.8,0,2.1,52,0,33.64,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,451.7634,208.5059,434.1726,2757.503,3502.4904,1760.4701,1298.267,953.1996,699.2396,519.202,402.6155,768.6048,4775.0704,3567.5378,1899.451,723.9464,681.5611,636.0671,496.2779,1091.5168,28,0
0,-6.4,0,1.7,56,5,40.96,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,464.014,214.1603,417.6675,2772.7609,3491.2571,1754.8118,1314.0017,957.8903,683.5991,507.8375,407.4006,754.1195,4815.8483,3579.102,1887.8221,722.0812,681.0465,631.7989,502.6214,1121.5832,21,0
0,-7,0,1.6,59,2,49,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,494.9173,228.423,438.2313,2780.6139,3487.9432,1754.4657,1299.2547,965.8599,719.0592,493.8672,390.0664,759.2225,4798.7789,3579.6345,1884.7284,724.244,687.0972,633.0392,504.5646,1092.3598,9,0
0,-7.2,0,1.3,61,3,51.84,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,507.3804,234.1749,446.1406,2803.1913,3518.3709,1779.2022,1301.6667,970.6791,708.5429,502.8778,397.9289,770.3506,4752.0265,3579.2221,1880.5437,723.0045,698.4787,631.4011,478.4149,1133.1607,35,10
0,-7.4,0,0.3,59,2,54.76,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,445.032,205.3992,440.6551,2795.1302,3487.6214,1789.8582,1292.5421,1008.9347,727.9901,530.6742,409.5458,793.6769,4772.6754,3560.5171,1910.9327,709.2058,712.693,659.0093,483.2726,1113.8521,64,565
1,-7.8,0,2.1,55,1,60.84,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,460.1583,212.3803,459.447,2756.9281,3454.61,1791.7569,1361.1127,996.9741,774.9457,536.3459,434.1096,819.6501,4694.4118,3569.0227,1890.5477,731.2445,696.985,642.1534,523.1746,1165.0858,173,892
0,-7.7,0,2,54,0,59.29,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,487.1381,224.833,430.9352,2652.1441,3324.0483,1801.4965,1453.0328,1149.7792,844.6391,598.5327,484.3968,858.7583,4636.7636,3455.4277,1902.6712,802.7161,772.7932,697.5645,534.9,1267.5847,344,2435
0,-7.6,0,1.6,55,1,57.76,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,436.3641,201.3988,644.902,2519.3405,2847.9055,1648.7732,1426.351,1208.1979,913.6478,643.2286,517.2983,869.331,4270.768,3084.5751,1705.8362,924.3551,936.5414,728.622,533.7396,1304.7471,712,4472
0,-6.9,0,1.7,55,1,47.61,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,468.4626,216.2132,672.8843,2482.0831,2662.0406,1612.2712,1395.7268,1250.4559,1001.3734,736.8433,549.8313,922.4688,3956.3774,2871.5283,1671.153,1035.5256,915.2747,767.7525,562.8275,1391.9837,484,2597
0,-4,0,1.2,55,2,16,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,509.9497,235.361,744.7539,2511.324,2688.0373,1640.1081,1439.9264,1312.3121,1056.6613,746.2477,514.519,859.6573,3960.7385,2821.1083,1675.3203,1173.343,943.9601,765.2355,586.9194,1392.7046,332,1361
0,-1.4,0,1.5,44,0,1.96,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,517.4044,238.8017,878.6157,2534.5863,2626.2692,1662.9091,1466.3247,1295.4737,1081.0416,717.0376,551.6107,906.669,4061.4116,2868.6999,1684.9537,1104.404,946.7855,776.9227,593.273,1475.7007,306,1430
1,0.9,0,2.1,36,2,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,458.3968,211.5678,857.3689,2710.3982,2693.7614,1720.4887,1510.9998,1293.3652,1075.5495,739.0346,541.5435,926.741,4233.7315,2922.4458,1625.2388,1121.1977,1008.2463,798.234,622.8533,1309.883,350,1601
1,1.7,0,2.8,43,4,2.89,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,554.3713,255.8632,776.4583,2856.6664,2721.8669,1717.156,1460.7442,1311.0648,1066.5346,759.8518,542.9097,956.0724,4305.2457,2941.0495,1699.0385,1156.7422,1044.9356,807.4246,629.8864,1360.3603,407,1661
1,2,0,2.4,43,6,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,451.932,208.5832,774.643,2913.5869,2828.2211,1716.8676,1520.8883,1334.6582,1092.2724,737.439,541.6243,924.2738,4551.2047,2947.6832,1718.2784,1176.4602,1042.1027,841.7481,617.1358,1314.2719,409,1746
0,2.2,0,2.2,48,6,4.84,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,518.499,239.3069,862.0225,3048.8963,2861.655,1743.0036,1563.615,1273.3366,1004.7152,739.1344,503.9378,908.7911,4622.7266,3001.5806,1732.9643,1213.4825,987.4939,844.4154,633.3601,1320.5806,475,2078
0,2.3,0,2.4,49,7,5.29,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,527.9048,243.6479,1113.7642,3128.9349,2945.7799,1758.573,1541.2622,1286.7302,931.7262,703.575,509.5979,924.7538,4704.3098,3014.8984,1653.7936,1165.018,1036.4946,837.3723,575.3131,1322.5985,576,2675
2,1.6,0,3,56,8,2.56,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,478.9472,221.0525,1462.203,3566.9292,3144.4974,1832.8592,1580.843,1265.1751,862.4286,662.4177,528.022,918.6571,5077.701,3165.3341,1699.6399,1125.9201,969.4632,794.8837,591.3638,1304.803,626,3455
1,1.3,0,1.9,58,9,1.69,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,486.4166,224.4997,1744.4481,4113.3908,3613.3573,2164.098,1658.274,1371.9742,922.902,717.9191,510.3344,933.1072,5727.6594,3976.3613,2191.8572,1187.7941,969.3633,790.7419,613.0449,1259.3332,939,4126
3,1.3,0,2.6,65,9,1.69,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,477.2858,220.2854,1583.4592,4065.1125,3726.0957,2131.5452,1653.4535,1213.1551,864.4499,650.9527,491.4713,876.745,5850.444,4043.4377,2116.7063,1112.8779,904.3468,784.2587,628.8605,1230.6667,729,2725
1,1.2,0,1.8,68,9,1.44,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,497.7466,229.7288,1381.3895,3789.5552,3683.61,2130.5112,1583.3262,1167.5954,816.706,590.3687,479.5888,848.6156,5604.409,3963.7459,2055.64,1040.8249,849.9934,732.2397,628.7436,1215.3251,627,3443
1,1.1,0,2.8,74,9,1.21,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,531.9859,245.5316,873.1528,3060.5916,3461.494,1987.1486,1515.8027,1045.0666,776.5617,607.2116,450.1245,876.2562,5014.7695,3702.9449,1898.2962,999.9461,837.7435,753.9444,618.7889,1199.8616,723,3962
0,0.9,0,1.5,75,8,0.81,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,497.0972,229.4291,609.4041,2813.8935,3518.1665,1926.8968,1424.2559,1037.7303,744.7992,579.0217,441.0624,871.3815,4899.2655,3708.7899,1918.2531,979.5203,792.4223,721.0197,598.7396,1186.8485,362,1166
0,0.6,0,1.3,75,9,0.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,414.5938,191.3508,470.2152,2724.7673,3416.9302,1768.6366,1333.3334,970.2347,743.2161,537.363,424.8363,783.018,4984.0756,3580.1829,1884.8524,761.3617,717.6586,635.2793,505.2386,1145.3585,203,319
1,0.7,0,1.6,81,9,0.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,426.6739,196.9263,444.4648,2761.1498,3449.8626,1765.9561,1298.8684,963.4141,709.9803,524.4742,418.9969,782.3677,5007.5642,3637.2328,1887.471,775.1001,711.7672,641.0496,512.173,1212.3185,65,1
3,0.7,0,1.3,81,9,0.49,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,441.5134,203.775,428.2473,2788.5948,3456.5987,1747.6222,1292.2232,961.2036,705.5771,523.2548,414.6474,793.1148,4980.5129,3665.298,1892.3083,785.4322,684.1675,638.1279,519.4533,1187.8481,17,0
